filename,transcript,english,note
BarrackEntrance_Normal.wav,ふっ、えっ。,Heh. Huh?,
Bedroom_0101.wav,あっ、んっ。,Ah! Ngh!,
Bedroom_0201.wav,んんっ,Nngh!,
Bedroom_0301.wav,はぁ……,Sigh...,
Bedroom_0401.wav,はぁ、はぁ,Huff... huff...,
Bedroom_04_Idle.wav,,,
Bedroom_0501.wav,はぁ…。,Sigh...,
Behave_InspectExclusive.wav,んん,Huh?,
Behave_Stretch.wav,んっ,Ngh!,
Break.wav,んっ……,Ngh...,
Camera_Aroud.wav,あっ……,Ah...,
Camera_Look.wav,あっ……,Oh...,
End.wav,Ugh,Ugh,
Gacha.wav,はっ,"Yes, sir!",
Series_Attack_Series_Tone_Positive_003.wav,ファイヤ！,Fire!,
Series_Battle_Start_Series_Tone_Positive_002.wav,敵ユニットの数、確認。,Confirm enemy unit count.,
Series_Chosen_Auto_Series_Tone_Positive_007.wav,了解,Roger.,
Series_Chosen_Series_Tone_Positive_006.wav,任せてください。,Please leave it to me.,
Series_Daily_001.wav,指揮官は別世界の自分について考えたことはありますか?えっ、もう見たことがある?,"Commander, ever think about your alternate self from another world? Wait—you’ve already seen one?",
Series_Daily_002.wav,あれから十年が経ちました。今、みんなが私に何を求めているのか、ゆっくり聞いていきたいです。,It’s been ten years since then. Now I want to take the time to listen to what you all expect of me.,
Series_Daily_003.wav,ここからだと、星がほとんど見えませんね。昔、遠い場所で眺めた夜空はとっても綺麗で、流れ星もよく見えていたのに。でも、あの時した願い事のうちのひとつは、もう叶いました。,"From here, you can hardly see any stars. Back in a far-off place, the night sky was so beautiful—you could see shooting stars all the time. But one of the wishes I made back then has already come true.",
Series_Daily_004.wav,え？私は何も。ただ、起爆装置のスイッチを確認していただけで。ほら、いざという時動かなかったら困るじゃないですか。,"Huh? I wasn’t doing anything. I was just checking the detonator switch. Look, if it doesn’t work when it counts, we’re in trouble.",
