filename,transcript,english,note
BarrackEntrance_Normal.wav,んー。,Hmm.,
Bedroom_0101.wav,嗯,Yeah.,
Bedroom_01_Idle.wav,,,
Bedroom_0201.wav,...,...,
Bedroom_0301.wav,...,...,
Bedroom_0401.wav,んーん。,Mm-mm.,
Bedroom_0501.wav,"Hmm, hmm, hmm...","Hmm, hmm, hmm...",
Bedroom_0601.wav,,,
Behave_InspectExclusive.wav,Hmm...,Hmm...,
Behave_Stretch.wav,。,.,
Break.wav,っ、はっ、んっ。,"Hh, hah, ngh.",
Camera_Aroud.wav,あっ…,Oh...,
Camera_Look.wav,。,.,
End.wav,(笑),Heh.,
Gacha.wav,Heh...!,Heh...!,
Series_Attack_Series_Tone_Positive_003.wav,制約します。,Imposing restrictions.,
Series_Battle_Start_Series_Tone_Positive_002.wav,行きましょう。,Let's move.,
Series_Chosen_Auto_Series_Tone_Positive_007.wav,了解です。,Understood.,
Series_Chosen_Series_Tone_Positive_006.wav,お任せください。,Leave it to me.,
Series_Daily_001.wav,エルマ号はまるで大きな家族ですね。そして指揮官は大黒柱。もし何か困ったことがあれば、私も相談に乗りますよ。,"The Elma’s like one big family. You’re our rock, Commander. If anything’s ever bothering you, you can come to me, too.",
Series_Daily_002.wav,寝る前にお話をしてあげましょうか。大丈夫、怖い話じゃなくて、いろんな地域の民話や昔話ですよ。,"Shall I tell you a bedtime story? Don’t worry—nothing scary, just folktales and old tales from all over.",
Series_Daily_003.wav,はい、なんでも私にお任せください。そのかわり、もう少しだけ一緒にいてもいいですか?,"Yes, leave it all to me. In return, could you stay with me just a little longer?",
Series_Daily_004.wav,こうしていられる日々が一番幸せです。あなたがどこにいようと、あなたのいるところが私の帰る場所です。,"Days like this are when I’m happiest. Wherever you are, that is my home.",
Series_Daily_005.wav,あら司令官、髪型が少し乱れているようですね。直してあげましょう。,"Oh, Commander, your hair’s a bit out of place. Let me fix it for you.",
Series_Die_Series_Tone_Negative_001.wav,また眠ってしまうの。,Am I gonna fall asleep again?,
Series_Dying_Series_Tone_Negative_002.wav,これ以上は引きません。,I won’t retreat any further.,
Series_Hit_Single_Hit_001.wav,サプライズですよ。,Surprise!,
Series_Hitted_Series_HittedLast.wav,んっ,Ngh!,
Series_Kill_Single_Kill_001.wav,かわいそうに。,Poor thing.,
Series_Lose_Single_Lose_001.wav,もう一度情報を。ここで諦めるわけには。,Give me the intel again. We can’t give up now.,
Series_Set_Click_Series_Tone_Positive_004.wav,情報確認しました。,Intel confirmed.,
Series_Set_Fall_Series_Tone_Positive_005.wav,予定地点に到着。,Arrived at the designated location.,
Series_Shield_Broken_Series_Tone_Negative_003.wav,防御が,Our defenses—,
Series_Skill01_Single_Skill_001.wav,ここは通しませんよ。,You’re not getting through here.,
Series_Skill02_Single_Skill_002.wav,落ち着かに。,Stay calm.,
Series_Tone_Positive_001.wav,私がお守りいたします。,I will protect you.,
Series_Ultimate_Single_Ultimate_SSR_001.wav,私が付いています。,I'm with you.,
Series_Up_001.wav,ええ、そうしましょう。,"Yes, let’s do that.",
Series_Up_002.wav,防御力がアップしました。,Defense has increased.,
Series_Up_003.wav,演算能力が上がりましたよ。,Processing power has increased.,
Series_Up_004.wav,順調ですね。,"So far, so good.",
Series_Up_005.wav,あなたの望むことなら、何でも。,Anything you want.,
Series_Win_Single_Win_001.wav,ご安心ください。危険は排除しました。,Rest assured. The threat has been neutralized.,
Single_Birthday_SSR_001.wav,お誕生日おめでとうございます、指揮官。今日のためにいろいろ用意してきましたよ。ケーキ、プレゼント、お誕生会に指揮官の好物まで。きっと喜んでくれると思います。,"Happy birthday, Commander. I’ve got everything ready for today—cake, presents, a party, even your favorite treats. I’m sure you’ll be pleased.",
Single_Christmas_001.wav,メリークリスマス。サプライズはそのプレゼントだけではありませんよ。まだまだありますから、期待しててくださいね。,"Merry Christmas. That present’s not the only surprise. There’s plenty more coming, so look forward to it.",
Single_Friendliness_001.wav,今日はいい天気ですね。指揮官、司令室にこもってないで一緒に散歩しませんか?,"Great weather today. Commander, don’t stay cooped up in the command center—how about we take a walk together?",
Single_Friendliness_002.wav,調べたい情報があれば、いつでも教えてくださいね。ちなみに、指揮官に関する情報なら、すべて記録してありますよ。,"If there’s anything you want me to look up, just let me know. By the way, I’ve got complete records on the Commander.",
