filename,transcript,english,note
BarrackEntrance_Normal.wav,あっ。,Oh!,
BarrackEntrance_Normal_Entry.wav,みんな最近ストレスたまってるのかなぁ。全然元気ないね。よし、ここはあたしが場を盛り上げないと!,"Is everyone stressed out lately? You all look wiped. Alright, I’ll boost morale!",
Bedroom_0101.wav,ん、あん,Ngh... ah.,
Bedroom_01_Idle.wav,はあ,Ugh.,
Bedroom_0201.wav,おとー。,Noise.,
Bedroom_0301.wav,ふっ、げげげ。,Heh—ugh.,
Bedroom_03_Idle.wav,はあ、はあ,Huff... huff...,
Bedroom_0401.wav,んん…。,Hmm...,
Bedroom_0501.wav,はいっ……!,Yes!,
Bedroom_0601.wav,えへへん。,Heh-heh.,
Bedroom_After.wav,うん,Yeah.,
Bedroom_Before.wav,はぁ?,Huh?,
Behave_InspectNormal.wav,えっ,Huh?,
Behave_Stretch.wav,ふんふんふふん,"Hmm-hmm, hmm-hmm.",
Break.wav,ふんっ、はっ、,Hngh! Hah!,
Camera_Aroud.wav,えひひ……,Heh heh...,
Camera_Look.wav,はぁ?,Huh?,
Darkzone_Entry.wav,私の番?,My turn?,
End.wav,ふぁ!,Ah!,
Gacha.wav,はいっ！,Yes!,
Series_Attack_Series_Tone_Positive_003.wav,Si,Yes!,
Series_Battle_Start_Series_Hit_Series_Tone_Positive_009.wav,幸先。,Here I come!,official wiki text (Voice-01)
Series_Battle_Start_Series_Tone_Positive_009.wav,おさきー,Here I come!,official wiki text (Voice-01)
Series_Cancel_Series_Tone_Positive_010.wav,ほんと?,Seriously?,official wiki text (Voice-10)
Series_Chosen_Auto_Series_Up_006.wav,私は強い!,I'm super strong!,official wiki text (Upgrade-03)
Series_Chosen_Single_Passive_SSR_001.wav,当たらないようだ。,Heh! You can't hit me!,official wiki text (Skill-04)
Series_Daily_001.wav,指揮官様、ちゃんとグローザ隊長の言うことを聞くから、もっとあたしの出番を増やしてよ。,"Commander, give me more opportunities to shine. I'll behave and listen to Leader Groza's orders!",official wiki text (Daily-01)
Series_Daily_002.wav,外の世界ってこんな感じだったんだ。いっぱい冒険しよ。,So this is what the outside world’s like. Let’s go on lots of adventures.,
Series_Daily_003.wav,お姉ちゃんと長期がいない今なら、バイトも練習もしなくていい。これぞ自由、自由万歳!,"With my big sis gone for a while, I don’t have to do my part-time shifts or practice. This is freedom—long live freedom!",
Series_Daily_004.wav,みんな最近ストレス溜まってるのかな?全然元気ないね。よし、ここはあたしが場を盛り上げないと!,"Lately, doesn't everyone seem so stressed and unhappy? Hehe, it's my turn to lighten the mood!",official wiki text (Daily-02)
Series_Daily_005.wav,ねえねえ司書様!さっきシミュレーションでキャロリックを倒したんだよ。すごくない?早くお姉ちゃんに教えたいなー。,"Hey, Librarian! I just took down Carolic in the sim. Pretty cool, right? I can’t wait to tell my big sister!",
Series_Daily_006.wav,プリキュアってすごいね！戦うときもライブのことを忘れないなんて。うちのダンサーに欲しいなー。,"PreCure are awesome! Even in a fight, they never forget the live show. I’d love to have them on our dance team.",
Series_Daily_007.wav,そんな顔しないでよ指揮官様、きっとなんとかなるって。,"What's that saying again? ""When we get to the mountain, there'll be a way through""? Commander, lighten up a bit!",official wiki text (Daily-03)
Series_Daily_008.wav,つきかんさま、ネメシスにあたしたちのバンドがいつ人気になれるか占ってもらえない? え、大真面目だよ。なんでそんな目で見るの?,"Commander, could you ask Nemesis to do a fortune reading? When will our band hit it big? Huh? I'm serious, are you rolling your eyes at me...?",official wiki text (Daily-04)
Series_Daily_009.wav,数日出かけるだけなのにお姉ちゃんってば、忘れ物ない?とか、迷わないよう気をつけて?とか、山ほどメッセージを送ってくるんだよね。出来合いされるのも困っちゃうな。,"I’m only going away for a few days, but my big sis keeps spamming me with messages like “Got everything?” and “Try not to get lost.” Being doted on is kind of a pain.",
Series_Daily_010.wav,お姉ちゃんとはいろんな場所に行ってきたけど、エルマゴーの住み心地は別格なんだよねー。もうここから離れたくないもん。,"I've traveled to quite a few places with Big Sis, but the Elmo is by far the most comfortable place I've ever stayed! I don't even want to leave!",official wiki text (Daily-05)
Series_Die_Series_HittedLast_Series_Tone_Negative_001.wav,嘘。,No way.,
Series_Dying_Series_HittedLast_Series_Shield_Broken_Series_Tone_Negative_002.wav,あたたたた,"Ow, ow, ow!",
Series_Hit_Series_Set_Fall_Series_Tone_Positive_007.wav,まかせて,Leave it to me!,official wiki text (Voice-07)
Series_Hit_Series_Tone_Positive_002.wav,咳咳,"Cough, cough.",
Series_Hit_Single_Hit_001.wav,いくよー!,Let's go!,
Series_Hitted.wav,あっ,Ah!,
Series_HittedLast_Series_Shield_Broken_Series_Tone_Positive_004.wav,아아.,Ah.,
Series_Kill_Single_Kill_001.wav,ゲンダメ中,All in target~,official wiki text (OnKill)
Series_Lose_Single_Lose_001.wav,やばいやばい、こんな初歩的なミス、お姉ちゃんにバレたらまた怒られる。,"Oh no, oh no... I've made another rookie mistake. Big Sis is definitely going to lecture me when I get back!",official wiki text (Fail)
Series_Set_Click_Series_Tone_Positive_005.wav,あたしの番?,My turn?,official wiki text (Voice-05)
Series_Set_Fall_Series_Tone_Positive_007.wav,まかせて。,Leave it to me!,official wiki text (Voice-07)
Series_Skill01_Single_Skill_001.wav,だるまさんがころんだ,1--2--3--Freeze!,official wiki text (Skill-01)
Series_Skill02_Single_Skill_002.wav,これくらいあたし一人で十分!,That's it? I can handle it all by myself!,official wiki text (Skill-02)
Series_Tone_Positive_001.wav,はいはい,"Not bad, not bad~",official wiki text (Upgrade-01)
Series_Tone_Positive_002.wav,Ah!,Ah!,
Series_Tone_Positive_006.wav,わかったわかった。,I--got--it--,official wiki text (Voice-06)
Series_Tone_Positive_008.wav,どうしよ?,What now?,
Series_Ultimate_Single_Ultimate_SSR_001.wav,私にやらせて!,Move aside! Watch--this!,official wiki text (Ultimate)
Series_Up_002.wav,いいねいいね。,"Nice, nice.",
Series_Up_003.wav,これくらい普通だよ。,This is nothing special.,
Series_Up_004.wav,さすがだし!,Knew it!,
Series_Up_005.wav,ぺっちんだっちん!,Smack and whack!,
Series_Up_007.wav,ありがとう。,Thank you very much!,official wiki text (Upgrade-04)
Series_Up_008.wav,お姉ちゃんも驚くよ!,Big Sis will definitely be surprised!,official wiki text (Upgrade-05)
Series_Win_Single_Win_001.wav,言ったでしょ、あたしは一人で百人力のエリート人形だって。,I told you--I'm an Elite Doll who can take on hundreds all by myself! Hehe!,official wiki text (Victory)
Single_Acquire_R_001.wav,もう一年か……お姉ちゃんには感謝の気持ちを忘れるなって教えられたから、これからも指揮官様のために頑張るよ。,"A year already... My sister taught me to always be grateful, so I’ll keep giving it my all for you, Commander.",
Single_Acquire_SSR_001.wav,今日は指揮官様と再会して一年の記念すべき日だし、盛大に祝わないとね！あ、エルマ号を赤色に塗装するなんてどうかな！,"Today marks a year since we reunited, Commander—let’s celebrate big! Oh, how about we paint the Elma red?",
Single_Anniversary_001.wav,指揮官様って何年も同じこと続けられるからすごいよ。私なんか三ヶ月続いたこともないのに。駄目駄目、指揮官様、あたしがたるみそうになったらしっかり叱ってね。,"Commander, you’re amazing—you can keep at the same thing for years. I can’t even stick with something for three months. No, no—Commander, if I start to slack off, make sure you really chew me out, okay.",
Single_Birthday_R_001.wav,じゃーん、指揮官様、お誕生日おめでとう!え?忘れてた?もう、指揮官様ってば物忘れひどすぎでしょ。,"Ta-da! Happy birthday, Commander! Huh? You forgot? Geez, Commander, you're way too forgetful!",
Single_Birthday_SSR_001.wav,機関様、今から一瞬で土地を一切取る魔法をかけてあげる!え?面白くなかった?やっぱり長期の言うことなんて聞くんじゃなかった。,"Watch this, Commander. Next up, I'm going to perform a magic trick that... instantly makes you one year older! Uhh, it's not funny? Uwooh, I shouldn't have trusted Zhaohui's stupid ideas...",official wiki text (Birthday-Y1)
Single_Birthday_SSR_002.wav,また一つ歳を取ったね、指揮官。確か、人間は歳を取るほど見た目が変わるってお姉ちゃんが言ってたけど、指揮官は全然変わってないね。ま、どんなに経っても指揮官は指揮官だけどねー,"You're a year older, Commander! Hm... Big Sis says that humans change a lot as they grow older... But you look the same as always. I guess you'll always be our Commander no matter how old you get~",official wiki text (Birthday-Y2)
Single_Children_001.wav,子供扱いしないで、もう雨なんて好きじゃないし。でも、指揮官様の前なら、一日くらい子供でいてもいいよ。今日だけだからね。,"Don’t treat me like a kid—I don’t even like the rain anymore. But for you, Commander, I can be a kid for a day. Just today.",
Single_Christmas_001.wav,今年のクリスマス、ちょっと変わったことしてみない?例えば…ツリーの仮装とか!プレゼントを置きに来た人みんなをびっくりさせるの!面白くない?,"Would you like to try something different for this year's Christmas celebration, Commander? Like... dressing up as a Christmas tree and scare the hell out of everyone who comes by for their gift? Hahaha.",official wiki text (Christmas-Y1)
Single_Christmas_002.wav,煙突から降りても平気なんだもの。もし本当にいたら、サンタさんって間違いなく武芸の達人だよね。あれ、ってことはもしかしてあたし、サンタさんの資格ある?しきかんのプレゼントどこに置こうかな。寝室?倉庫?それとも別の場所?,"Coming down a chimney like it’s nothing… If he really exists, Santa’s gotta be a master of martial arts. Wait—does that mean I might qualify as Santa? Where should I put your present, Commander? Bedroom? Storage? Or somewhere else?",
Single_Duanwu_001.wav,メイリンがフライ返しを二つ持って出て行ったのを見たんだけど…エアードラゴンボート?水が無いからせめて雰囲気だけでも?ええ、面白そう!私もやる!,"I just saw Meilin head out with two spatulas... Air dragon boat? No water, so at least get the feel? Yeah, sounds fun! I’m in too!",
Single_Friendliness_001.wav,もう子供じゃないんだから頭撫でないでよ。,"Aw, don't pat my head, I'm not a kid...",official wiki text (Affinity-01)
Single_Friendliness_002.wav,今日はサボってないよ。エルモ号の構造全部把握したんだから。,I wasn’t slacking today—I was mapping out the Elmo’s entire layout.,
Single_Friendliness_003.wav,用事がないなら帰るよ。お姉ちゃんとオンラインでバンドの練習する約束をしてるんだ。,"If there’s nothing else, I’m heading back. I promised my sister I’d be online for band practice.",
Single_Friendliness_004.wav,お姉ちゃんに指揮官様を夜更かしさせないでって言われてるから、今日は早く寝てね。,"Big Sis told me to pay extra attention to your work habits, Commander! That means no all-nighters!",official wiki text (Affinity-02)
Single_Friendliness_005.wav,司令官さま、手っ取り早く稼げる方法ない?バンドがヤバそうだから、私も何かできないかなって。,"Urgh... Commander, do you have any tricks to increase income? The band hasn't been doing too well recently and I'd like to help out too.",official wiki text (Affinity-03)
Single_Friendliness_006.wav,見て見て、指揮官様!キャロリックから新技を教わったんだ!今度こそお姉ちゃんを驚かせるぞ!,"Look, look, Commander! Karolic taught me a new move! This time I’ll really surprise my big sis!",
Single_Friendliness_007.wav,今日は休日日でしょ？なんでまた端末とにらめっこしてるの？ボッシュー、ボッシュー。,"Today's a vacation day, so why are you still carrying your terminal around? I'm confiscating it!",official wiki text (Affinity-04)
