filename,transcript,english,note
BarrackEntrance_Normal.wav,ふん。,Hmph.,
Bedroom_0101.wav,ふん,Hmph.,
Bedroom_0201.wav,ふぅ…。,Phew...,
Bedroom_0301.wav,ふっ、んっ。,"Hup, nngh.",
Bedroom_0401.wav,んー。,Hmm.,
Bedroom_04_Idle.wav,はぁ…。,Sigh...,
Bedroom_0501.wav,ふん。,Hmph.,
Bedroom_05_Idle.wav,,,
Bedroom_0601.wav,ん…ふふっ。,Mm... heh.,
Behave_InspectExclusive.wav,ふぅ。,Phew.,
Behave_Stretch.wav,ふーん,Hmm.,
Break.wav,ふふっ,Heh.,
Camera_Aroud.wav,ふん。,Hmph.,
Camera_Look.wav,ん?,Huh?,
End.wav,はぁ。,Sigh.,
Gacha.wav,ふっ,Heh.,
Series_Attack_Series_Tone_Positive_003.wav,次はあなたの番。,You're up next.,
Series_Battle_Start_Series_Tone_Positive_002.wav,狼が来たわよ。,Wolves incoming!,
Series_Chosen_Auto_Series_Tone_Positive_007.wav,賢明な判断ね。,Good call.,
Series_Chosen_Series_Tone_Positive_006.wav,また私?,Me again?,
Series_Daily_001.wav,目をつむってても、相手の表情や視線を把握できるのは知ってるでしょ。,"You do know you can read their expression and where they’re looking even with your eyes shut, right?",
Series_Daily_002.wav,私の名前？もともとは復活してやるって意気込んでつけた名前だったけど、今となっては叶っちゃったわね。,My name? I picked it when I was fired up to make a comeback. Looks like it came true.,
Series_Daily_003.wav,こんな大きな車、どうやって一人で操縦してたの?三日経っても回りきれてないんだけど私。,How did you pilot something this huge by yourself? It’s been three days and I still haven’t figured it all out.,
Series_Daily_004.wav,ここで指揮官に豆知識を一つ。実は私、反逆小隊では末っ子なの。だからこれからはたくさん甘やかしてね。,"Here’s a fun fact, Commander: I’m actually the baby of the Rebel Squad. So from now on, spoil me rotten, okay?",
Series_Daily_005.wav,あれ？その理屈じゃ、ボイマスティナが私の姉になるってこと？待って、急に吐き気が……今の発言、やっぱりなかったことにして。,"Wait, what? By that logic, Boimastina would be my big sister? Hold on—I think I’m gonna be sick... Yeah, forget I ever said that.",
Series_Die_Series_Tone_Negative_001.wav,まだ終わってない,It’s not over yet!,
Series_Dying_Series_Tone_Negative_002.wav,ここからが本番よ。,Now the real fight begins.,
Series_Hit_Single_Hit_001.wav,見つけた。,Found you.,
Series_Hitted.wav,하,Hah!,
Series_Kill_Single_Kill_001.wav,次。,Next.,
Series_Lose_Single_Lose_001.wav,これで終わりと思ったら大間違いよ。,"If you think it’s over, you’re dead wrong.",
Series_Set_Click_Series_Tone_Positive_004.wav,任せて,I've got this!,
Series_Set_Fall_Series_Tone_Positive_005.wav,すぐに終わらせてあげる。,I'll make it quick.,
Series_Shield_Broken_Series_Tone_Negative_003.wav,それじゃあ、第二ラウンドといきましょっか。,"Alright, round two—let’s go.",
Series_Skill01_Single_Skill_001.wav,目障りよ。,You’re an eyesore.,
Series_Skill02_Single_Skill_002.wav,チャンスがあるとでも?,You think we got a shot?,
Series_Tone_Positive_001.wav,イケてるでしょ?,"Lookin’ good, huh?",
