filename,transcript,english,note
BarrackEntrance_Normal_Entry.wav,え、仕事まだあるの?,"What, more work?",
BarrackEntrance_Normal_Show.wav,嗯。,Uh-huh.,
Bedroom_0101.wav,んー。,Hmm.,
Bedroom_01_Idle_Bedroom_04_Idle_Bedroom_05_Idle.wav,フフフーンフーン,"Hmm-hmm-hmm, hmm.",
Bedroom_0201.wav,んん……,Mm...,
Bedroom_02_Idle.wav,んんん…,Mmm...,
Bedroom_0301.wav,ふふふーん,Heh-heh-heh.,
Bedroom_03_Idle.wav,うん。,Yeah.,
Bedroom_0401.wav,ん?,Huh?,
Bedroom_0501.wav,んー。,Hmm.,
Behave_InspectExclusive.wav,うん。,Yeah.,
Behave_InspectNormal.wav,ん。,Hm.,
Behave_Stretch.wav,ん、うん,"Mm, yeah.",
Break.wav,ドゥドゥドゥー,Da-da-da♪,wiki
Camera_Aroud.wav,んんん,Nngh...,
Camera_Look.wav,あはは。,Haha.,
Cloth_After.wav,ふーん।,Huh.,
Cloth_Before.wav,ふーん,Hmm.,
Darkzone_Entry.wav,出番だよ!,You're up!,
Ending.wav,ふふ,Heh.,
Gacha.wav,はーい。,Got it!,
Lobby_Welcome.wav,よーし、一年間頑張ったんだもん。今日くらい休んでも平気だよね。,"Alright, I’ve worked hard all year. It’s okay to take today off, right?",
Series_Battle_Start_Series_Set_Click_Single_Login_001.wav,今日もサクッと終わらせちゃうよ。,"Let’s make it a quick one today, too.",
Series_Chosen_Series_Up_003.wav,いい感じ?,Looking good?,
Series_Daily_001.wav,ふうふうふう。おはよう指揮官。私？これからリバ姉に連絡するんだー。,"Huff, huff, huff. Good morning, Commander. Me? I’m about to radio Big Sis Leva.",
Series_Daily_002.wav,え、仕事まだあるの? よーし、さっさと終わらせちゃおう!,"Wait, there’s still work? Alright, let’s wrap this up quick!",
Series_Daily_003.wav,今日は外勤日和だね。そろそろ出発かな。,Nice day for field ops. Guess it’s about time to head out.,
Series_Daily_004.wav,さっきのってリバ姉?え、指揮官に?へー、リバ姉なんて?いいじゃん教えてよ、だってもう長いことリバ姉から連絡もらってないんだよ?二日だって十分長いよ!,"Was that Leva just now? Wait, to the CO? Oh? What’d she say? Come on, tell me—I haven’t heard from Leva in ages. Even two days is plenty long!",
Series_Daily_005.wav,この服どう?かっこいいでしょ。カリン姉の任務用にデザインしたんだ。でも、私は前の格好の方が好きだけど。だってリバ姉とおそろいなんだもん。,"How’s this outfit? Cool, right? I designed it for Big Sis Kalina’s missions. Still, I like my old look better, because it matches with Big Sis Leva.",
Series_Daily_006.wav,ティバネーの声が聞きたいな。あ、四号姉の新しいコードネームだよ。私がつけてあげたんだ。,"I wanna hear Tiba’s voice. Oh, that’s Sister Four's new codename. I gave it to her.",
Series_Daily_007.wav,疲れた。仕事ができるのって、いいことばっかじゃないよね。,I’m beat. Being good at your job isn’t all it’s cracked up to be.,
Series_Daily_008.wav,やっほー指揮官!久しぶり!もうたまには顔出してよね!カリン姉が心配して…やば、行っちゃった!と、とにかくおかえり指揮官!,"Hey, Commander! Long time no see! Drop by once in a while, okay? Kalina’s been worried about you—shoot, she just left! A-anyway, welcome back, Commander!",
Series_Daily_009.wav,サイズが違うのはともかく、髪型も変わっちゃうなんて。リバネイトの共通点がなくなってゆく。,"Size differences are one thing, but even the hairstyles change? The traits we Levas shared are disappearing.",
Series_Daily_010.wav,うん、メンタル良好、火力上昇、能力増進!実験に参加してよかった!,"Yeah, head’s clear, firepower up, abilities enhanced! Glad I signed up for the experiment!",
Series_Die.wav,負けちゃった。,We lost.,
Series_Hit_Single_Hit_001.wav,こっちだよ。,Look over here♪,wiki
Series_Hitted_Series_HittedLast_Series_Shield_Broken.wav,あっ。,Ah!,
Series_Kill_Single_Kill_001.wav,ごめんね。,Sorry about that♪,wiki
Series_Lose_Single_Lose_001.wav,ごめんなさい指揮官。でも、私とリバネスがいればなんとかなるはずだよ。心配しないで。,"Uuu... Sorry, Commander... But with Leva and me here, we can handle everything, so don't worry♪",wiki
Series_Set_Fall_Series_Up_004.wav,ううん、効果抜群!,"Nope, super effective!",
Series_Set_Fall_Series_Up_006.wav,あたしがみんなを守る!,I'll protect you all!,
Series_Skill01_Single_Skill_001.wav,シロフクロウの声だよ。,"It's the sound of a white owl, eheheh♪",wiki
Series_Skill01_Single_Skill_002.wav,みーつけた。,Found~ you~♪,wiki
Series_Skill02_Single_Skill_001.wav,シロフクロウの声だよ。,"It's the sound of a white owl, eheheh♪",wiki
Series_Skill02_Single_Skill_002.wav,みーつけた。,Found~ you~♪,wiki
Series_Tone_Negative_001.wav,えっ,Huh?,
Series_Tone_Negative_002.wav,えっ,Huh?,
Series_Tone_Positive_003.wav,やっほー,Hey♪,wiki
Series_Tone_Positive_006.wav,楽勝楽勝!,Effortless♪,wiki
Series_Tone_Positive_007.wav,こわいこわい,"So scary, so scary♪",wiki
Series_Tone_Positive_008.wav,目覚わりだよ。,Too much of an eyesore.,wiki
Series_Tone_Positive_009.wav,消えて。,Disappear.,wiki
Series_Tone_Positive_010.wav,残念でした。,Such a pity♪,wiki
Series_Ultimate_Single_Ultimate_SR_001.wav,いくよ!,Let’s go!,
Series_Ultimate_Single_Ultimate_SSR_001.wav,シラフクロウ、出番だよ!,"White Owl, it's your time to shine♪",wiki
Series_Up_001.wav,強くなったのかな?,Did I get stronger?,
Series_Up_005.wav,どこか変わったかな?,Did something change?,
Series_Up_007.wav,お姉さん褒めてくれるかな。,Think big sis will praise me?,
Series_Up_008.wav,リバネーの役に立っちゃった!,I actually helped Big Sis Leva!,
Series_Win_Single_Win_001.wav,パーフェクト!これはリバネーも褒めずにはいられないでしょ。もちろん指揮官にも褒めてほしいな。,"Perfect♪ Leva should be praising me this time? Heh heh~ Of course, the Commander's reward must also be there♪",wiki
Single_Acquire_R_001.wav,あれ？もう一年経ったの？全然気が付かなかった。指揮官がそばにいて、気が緩みすぎちゃったからかな。,"Huh? It’s been a year already? I didn’t even notice. Maybe I let my guard down a little too much with you by my side, Commander.",
Single_Acquire_SR_001.wav,もうまったく、一周年だとか言ってさ、指揮官はいつまでたっても二分ちんだよね。私たちが家族として過ごした時間は、一年なんてもんじゃないでしょ?,"Jeez. You keep going on about a one-year anniversary, but you’re as dense as ever, Commander. The time we’ve spent as a family is way more than a year, right?",
Single_Acquire_SSR_001.wav,一緒に生活を始めた日?もちろん覚えてるよ!そうだ、記念に何を贈ろうかな。バッジでも作ってあげようか!,"The day we moved in together? Of course I remember! Oh, right—what should I give you to mark the occasion? How about I make you a badge?",
Single_Anniversary_001.wav,よーし、一年間頑張ったんだもん、今日くらい休んでも平気だよね。えへへ、指揮官も面倒事は一旦置いて、一緒にパーティーを楽しもうよ。,"Alright! We’ve worked hard all year—taking today off is fine, right? Hehe. Commander, put the hassles aside for now and let’s enjoy the party together.",
Single_Birthday_R_001.wav,ハッピーバースデー！って、どうしたのそんな顔して。家族の誕生日なんだから、祝うのは当たり前じゃない。,Happy birthday! What’s with that face? It’s family—of course we celebrate.,
Single_Birthday_SR_001.wav,指揮官、はいプレゼント。素敵でしょ?リバレート一緒に選んだんだ。誕生日おめでとう。,"Commander, here—your present. Nice, right? Liberate and I picked it out. Happy birthday.",
Single_Birthday_SSR_001_TypeA.wav,指揮官、ハッピーバースデー!まさか私が出てくるなんて思いもしなかったでしょ?なんたってサプライズだもん。任務?心配しないで、ちゃんと終わらせてきたから。,"Commander, happy birthday! Bet you never thought I’d show up, huh? It’s a surprise, after all. Mission? Don’t worry—I got it done.",
Single_Birthday_SSR_001_TypeB.wav,ハッピーバースデー！え、忘れるわけないよ。だって指揮官は私の…やっぱりナイショ。早くプレゼント開けてみて！,"Happy birthday! What? Like I’d ever forget. Because, Commander, you’re my… actually, that’s a secret. Hurry up and open your present!",
Single_Birthday_SSR_002.wav,今日はエルマ号で超超超豪華なパーティーがあるんだけど、主役は誰だと思う?そう、指揮官のために私たちみんなで準備したんだよ。私からのサプライズも用意してるから楽しみにしててね、指揮官。,"We’re throwing a super, super, super fancy party aboard the Elma today—guess who the guest of honor is? That’s right, we all set it up for you, Commander. I’ve got a little surprise of my own, so look forward to it, Commander.",
Single_Children_001.wav,あ、指揮官！このお菓子あげるね。すっごく美味しいんだよ。なんたって見た目が可愛いし……えへへ。ん？もしかして食べさせてほしいの？いいよ。ほら、お口を開けて。あーん♪,"Oh, Commander! Here, have this treat. It’s super tasty—plus it looks adorable... hehe. Hm? Do you want me to feed you? Sure. Come on, open wide. Say ahh~",
Single_Christmas_001.wav,よし、次にこれを詰め込んでっと…あ、指揮官!えへへ、私の作ったクラッカーなんだ。ペプリンが教えてくれたの。指揮官も一緒に作る?一緒にならせば、より記念日っぽくなるよ。,"Alright, next this goes in... Ah, Commander! Hehe, I made these party poppers. Peprin taught me. Want to make some together? If we pop them together, it’ll feel more like an anniversary.",
Single_Christmas_002.wav,メリークリスマス。指揮官へのプレゼントはちゃんと用意してあるよ。プレゼントに合いそうなものを見つけるとね、つい我慢できず買っちゃうんだー。,"Merry Christmas. Your present’s all ready, Commander. Whenever I spot something that would go with it, I just can’t help picking it up too.",
Single_Duanwu_001.wav,指揮官はドラゴンボートって知ってる?龍をかたどってるみたいなんだけど、ああいうドラゴンもいるもんなんだね。私てっきり、ドラゴンってみんな大きな翼があるものだと思ってたよ,"Commander, ever heard of dragon boats? They’re shaped like dragons—I didn’t know there were dragons like that. I always thought they all had big wings.",
Single_Friendliness_001.wav,さすが指揮官!全然足音変わってないね。,That's our Commander! Your footsteps haven't changed a bit.,
Single_Friendliness_002.wav,前と違う?うーん、まあ一応成長してはいるからね。色々と。,Huh... so I look different? Hm... I guess I've grown in more ways than one.,wiki
Single_Friendliness_003.wav,指揮官、ここではレナって呼んでくれないと。そうそう、リヴァネーに言われてこの名前にしたんだよ。気に入ってるんだ。,"Commander, you need to call me Lenna around here. Oh, right—Big Sis Leva told me to go with this name. I like it.",
Single_Friendliness_004.wav,あ、さっき指揮官のこと考えてたんだ。家族を気にかけるのは当然でしょ?,"Ah... I was just thinking about you, Commander. Hehe♪ It's only natural to think about your family, right?",wiki
Single_Friendliness_005.wav,司令官、私の育てたゼラニウムがついに咲いたんだ！今度こそ枯らさないぞ！,"Hehe♪ Commander, the geraniums I was raising bloomed at last! I won't let them wither this time!",wiki
Single_Friendliness_006.wav,ちょっと、指揮官、何するの、私たちまだそんな関係じゃないでしょ。まあ、家族ではあるけど、だ、ダメったらダメ!,"Hey, Commander, what do you think you’re doing? We’re not like that yet! I mean, we are family, but n-no means no!",
Single_Friendliness_007.wav,あら、指揮官?どうやら鼻筋のケアが必要みたいね。どう?びっくりした?似てるでしょ。,"Oh? You'd better mind your nose, Commander— Pfhahaha, did I scare you? Looks like I managed to imitate her well♪",wiki
Single_Friendliness_008.wav,そんなに私の目を見ないでよ。素体を変えたからもう傷はないんだって。やっぱりもう一度刻んだ方がいいかな。指揮官はどう思う?,"Quit staring into my eyes. I swapped bodies, so the scars are gone. Should I carve them back in? What do you think, Commander?",
Single_Friendliness_009.wav,指揮官、今まで本当にありがとう……これは感謝のチューだよ。あはは……本気にした?指揮官のその目、前と同じだ。,"Commander, thank you for taking care of me all this time. Here's a smooch of gratitude for you— Hahaha, did you think I really meant that? That look in your eyes is just like before♪",wiki
Single_Friendliness_010.wav,あ、指揮官、早くあっち見て、あっち!……ちゅっ。ふふ、今のはおふざけじゃないよ?どう?思いもよらなかったでしょ?,"Hm? Commander, look, over there! ...(smch)♪ Hehe, I meant that this time. Didn't expect that, huh?",wiki
Single_Friendliness_011.wav,突然現れれば指揮官きっと驚くよね。びっくりした指揮官の顔、楽しみだな。でもあれれ、指揮官ってばいつになったら、ってなんでいきなり出てくるの?,"Hehe♪ I bet the Commander will be super scared if I pop out now. Ah, I want to see the look of surprise on the Commander's aiiiiieeeee?! Commander, when did you... what are you doing here?!",wiki
Single_Friendliness_012.wav,えっとさ、指揮官、変化って悪いことじゃないよね。うん、本当にみんなすごくなった。リバネもそうだし、指揮官だってそう。こりゃ私も頑張らなきゃだね。,"Uh, Commander, change isn’t a bad thing, right? Yeah, everyone’s really gotten better—Big Sis Leva too, and you as well. Guess I’ve gotta step up, too.",
Single_Friendliness_013.wav,指揮官にはきっとパンク系のファッションが似合うと思うんだよね。よかったら試してみない?いい店知ってるんだ。一緒に行こう。,"Mmm... Commander, I think you might look great in punk fashion! Want to give it a try? I know a place that specializes in it, want to go there with me next time?",wiki
Single_MidAutumn_001.wav,家族と見るお月様って、一層綺麗に見えるね。柔らかくて明るくて、私もお月様みたいな人になりたいな。,"The moon looks even more beautiful when I watch it with my family. It’s so gentle and bright—I wish I could be like the moon, too.",
Single_MidAutumn_002.wav,中秋節といえば、家族みんなが集まる日。今日はリバ姉、カリン姉、それから404のみんなを呼んでお月見する予定だから、指揮官も絶対来てね!,"The Mid-Autumn Festival’s when the whole family gets together. I’m having a moon-viewing tonight with Big Sis Leva, Big Sis Kalina, and everyone from 404—so make sure you come too, Commander!",
Single_NewYear_001.wav,願い事か…今も十分幸せだけど…あ、閃いちゃった!みんなや指揮官ともっと一緒にいられますように!,"A wish, huh... I’m already plenty happy, but... Ah! I know! I wish I could spend more time with everyone and the Commander!",
Single_NewYear_002.wav,指揮官、お正月の過ごし方は決めた?お参り?縁日?それともお買い物?何をするのも指揮官の自由だけど、家族とは絶対一緒だよ!,"Commander, have you decided how you’ll spend New Year’s? A shrine visit? The festival? Or shopping? Do whatever you like, but you’ve gotta be with family!",
Single_Obon_001.wav,指揮官指揮官、今夜幽霊の格好しようと思うんだ。え?そういう日じゃない?ハロウィンとあまり変わらない日だと思ってたんだけど、違ったんだね。,"Commander, Commander, I’m thinking of dressing up as a ghost tonight. Huh? Not that kind of day? I figured it was close enough to Halloween. Guess not.",
Single_Obtain_R_001.wav,へー、これが噂のエルモ号か。いいじゃん。私がもっと盛り上げてあげよっと。,"Huh, so this is the famous Elmo. Not bad. I’ll crank things up even more.",
Single_Obtain_SR_001.wav,あ、指揮官だ。よかったー。今度こそちゃんと守ってあげるね。,"Oh, Commander! Thank goodness. I’ll keep you safe this time, for real.",
Single_Obtain_SSR_001.wav,お待たせ!あとは私に任せてよね!,Sorry to keep you waiting! Leave the rest to me!,
Single_Passive_SSR_001.wav,いいこいいこ,Such a good kid♪,wiki
Single_SpringFes_001.wav,びっくりした?獅子の格好してみたんだ。かわいいでしょ。今日はペプリーと一緒に獅子舞を踊るから楽しみに待っててね!,"Surprised? I dressed up like a lion. Cute, right? I’m doing the lion dance with Pepry today, so look forward to it!",
Single_SpringFes_002.wav,指揮官のために新しい衣装を用意したよ。着替え終わったら、映画なんて撮ってみようよ。タイトルはね、「エルモ号の春雪」。せっかくみんなエルモ号に集まってるんだもん、全力で満喫しなくっちゃ!,"Got a new outfit ready for you, Commander. Once you’re changed, let’s shoot a movie—title: Spring Snow on the Elmo. Since everyone’s aboard the Elmo, we gotta enjoy it to the fullest!",
