filename,transcript,english,note
BarrackEntrance_Normal.wav,嗯。,Mm.,
Bedroom_0101.wav,ん……,Hmm...,
Bedroom_01_Idle.wav,...,...,
Bedroom_0201.wav,うん。,Yeah.,
Bedroom_0301.wav,んー…,Hmm...,
Bedroom_0401.wav,んっ,Ngh!,
Bedroom_0501.wav,ん,Huh?,
Behave_InspectExclusive.wav,ふーん,Huh.,
Behave_Stretch.wav,嗯,Uh-huh.,
Break.wav,え?,Huh?,
Camera_Aroud.wav,ん?,Huh?,
Camera_Look.wav,はぁ。,Sigh.,
End.wav,Huh?,Huh?,
Gacha.wav,はっ,"Yes, sir!",
Series_Attack_Series_Tone_Positive_003.wav,我慢我慢～。,"There there, bear with it.",wiki
Series_Battle_Start_Series_Tone_Positive_002.wav,準備おっけ～。,I'm ready~,wiki
Series_Chosen_Auto_Series_Tone_Positive_007.wav,指示は？,Your orders?,wiki
Series_Chosen_Series_Tone_Positive_006.wav,聞いてるわ。,I'm listening.,wiki
Series_Daily_001.wav,あは～、びっくりした、全然気づかなかったー。さすがにわざとらしかった？ごめんごめん、次はもっとそれっぽくするよ。,"Uwaaahhh~ You scared me, I had nooooo idea you were there, Commander— Hm? That was too fake? Haha, sorry about that, I'll try to be more convincing next time.",wiki
Series_Daily_002.wav,もっと近づいてもいいのよ？なに、鼻の心配でもしてるの？,"Come closer, Commander— What's this? Worried about your nose?",wiki
Series_Daily_003.wav,クルカイが頑張ってる姿を見ると、どうしてもいじめたくなっちゃうのよね……あ、別に内緒にしなくてもいいわよ。,"Everytime I see Klukai working hard, I can't help but want to bully her a little... Ah, you don't have to keep that a secret, Commander.",wiki
Series_Daily_004.wav,質問があるならなんでも答えるけど、聞かれたこと以外は答えない主義なの。だから何を聞くのかじ～っくり考えるといいわ、ふふ。,"Oh yes, Commander, I know everything, but that doesn't include things you haven't asked about. So— Please take your time and think about what else I might know~",wiki
Series_Daily_005.wav,「家族」でも、ある程度のプライバシーはあった方がいいけど……もちろん、あなたが私の全てを知りたいというなら、話は別だけどね？,"""Family"" shares secrets, supports each other, protects each other— Mm... Maybe it would be better to give each other some space? Although, if you want to tell me aaaalll about yourself, I won't mind~",wiki
Series_Die_Series_Tone_Negative_001.wav,こんなところで……,I can't go down... not here...,wiki
Series_Dying_Series_Tone_Negative_002.wav,うっ……,Oh no...,wiki
Series_Hit_Single_Hit_001.wav,運試しでもしてみる？,Want to test your luck?,wiki
Series_Hitted_Series_HittedLast.wav,。,.,
Series_Kill_Single_Kill_001.wav,じゃあね～。,See you never.,wiki
Series_Lose_Single_Lose_001.wav,大丈夫、次に活かせばいいだけ。そうでしょ？,"At the very least, we know what not to do next time, right?",wiki
Series_Set_Click_Series_Tone_Positive_004.wav,私が必要？,Do you need me?,wiki
Series_Set_Fall_Series_Tone_Positive_005.wav,了解～。,Got it—,wiki
Series_Shield_Broken_Series_Tone_Negative_003.wav,ちょっとまずいかも……,This is kind of bad...,wiki
Series_Skill01_Single_Skill_001.wav,命は大事にしないと。,Cherish the rest of your life.,wiki
Series_Skill02_Single_Skill_002.wav,静かにして。,"Silence, please.",wiki
Series_Tone_Positive_001.wav,ここよ。,I'm here.,wiki
Series_Ultimate_Single_Ultimate_SSR_001.wav,痛かったら言ってね～。,Feel free to scream if it hurts.,wiki
Series_Up_001.wav,ふーん、こんな感じ？,Hm? Are you serious?,wiki
Series_Up_002.wav,うん、悪くない。,"Not bad, not bad?",wiki
Series_Up_003.wav,まだ続ける？,Want to go on~,wiki
Series_Up_004.wav,新鮮な気分ね。,"It feels different, hm.",wiki
Series_Up_005.wav,もっと私に頼ってもいいよ？,Feel free to lean on me.,wiki
Series_Win_Single_Win_001.wav,私が強かった？ううん、あなたの采配のおかげよ。,"Did I do well? That's because you did well too, Commander~",wiki
Single_Birthday_SSR_001.wav,お誕生日おめでとう。一年に一度だし、今日は何でも言うこと聞いちゃおっかな。冗談かどうかは言ってみればわかるんじゃない?,Happy birthday. It only comes once a year—maybe I’ll do whatever you say today. Say the word and you’ll find out if I’m kidding.,
Single_Birthday_SSR_002.wav,お誕生日おめでとう!まだ365日しか経ってないのに、ずいぶんと貫禄が出てきたわね。これからも指揮官の役に立ってあげる。,"Happy birthday! It’s only been a year, and you’re already looking pretty commanding. I’ll keep backing you up, Commander.",
Single_Christmas_001.wav,過去のメンタルログによれば、うん、指揮官はいい子だったようね。なら、今夜のプレゼントは期待してもいいかもよ。靴下吊るすの、忘れないでね。,"According to your past psych logs—yeah—you’ve been good, Commander. So you might just get a present tonight. Don’t forget to hang your stocking.",
Single_Christmas_002.wav,メリークリスマス。良い子にはサンタさんからプレゼントがあるらしいけど、欲張りな良い子さんになら、二つくれるよね?,"Merry Christmas. I hear Santa gives presents to good kids—but if I’m a greedy good kid, I get two, right?",
Single_Friendliness_001.wav,やっぱり、どんなに見た目や立場が変わっても、指揮官は昔のままね。,"Knew it. No matter how different you look or how high your rank gets, you’re still the same old Commander.",
Single_Friendliness_002.wav,これくらいのこと、私に任せればいいわ。迷惑?まさか、家族からのお願いだしね。,This is nothing—leave it to me. A bother? No way. It’s a favor for family.,
Single_Friendliness_003.wav,好きなものと嫌いなもの?そうやってプライバシーを侵すのはあまり好きじゃないな。でも、あなただら教えてやらないこともないわ。,"Likes and dislikes? I don’t really like you prying into my privacy. But since it’s you, I might tell you.",
Single_Friendliness_004.wav,つかみどころがない？私が？そんなこと言うなんて、いつも私のこと考えてるんだ。,"Hard to read? Me? If you’re saying that, you must be thinking about me all the time.",
Single_Friendliness_005.wav,どうしたの?クマがひどいわよ。眠れないときは話し相手になってあげてもいいけど。どう?いい夢が見られるかもしれないよ。,"What’s wrong? Those bags under your eyes are pretty bad. If you can’t sleep, I’ll keep you company. How about it? Maybe you’ll even get some sweet dreams.",
Single_Friendliness_006.wav,人形の皮膚、柔らかいでしょ?まあ、人間ほどじゃないけどね。指揮官のも触らせてよ。大丈夫、比べるだけだから。,"A doll’s skin is pretty soft, right? Well, not as soft as a human’s. Let me touch yours too, Commander. Don’t worry—just for comparison.",
Single_Friendliness_007.wav,一口に家族と言っても、一人一人の関係はまた特別よ。あなたにとって、私はどういう存在かしら。じっくり考えてね。,"We may call it “family,” but each relationship is special in its own way. What am I to you? Take your time and think it over.",
Single_Friendliness_008.wav,全てが片付いたら、その先は同じ時間を共有し合うって約束してくれる?保護にしたら許さないからね。,"When this is all over, promise we’ll spend our time together. Treat me like I need protecting and I won’t forgive you.",
Single_Login_001.wav,ん？どうしたの？私の顔が見たくなった？,"Oh my, it's you, Commander~ What's this, were you thinking of me~?",wiki
Single_MidAutumn_001.wav,今夜の月は丸いそうね。機関が絵に描いた餅とどっちが丸いのやら。何のことかって？やだ、冗談なのに本気にしちゃったんだ。可愛い。,"Heard the moon’s full tonight. Which do you think is rounder—that, or Command’s pie-in-the-sky? What do I mean? Oh, come on, it was a joke. You actually took me seriously. Cute.",
Single_MidAutumn_002.wav,月が綺麗ね。せっかくだし、何かロマンチックなことでも話してよ。例えば、来年もこうしてリバと中秋節を過ごしたいな、とか。,"The moon’s beautiful. Since it’s such a nice night, say something romantic—like how you’d like to spend the Mid-Autumn Festival with Riva like this again next year.",
Single_NewYear_001.wav,助っ子、誰と過ごすか決まった?選ばせてあげようか。UMP45?リボン?それとも私?,"Assistant, have you decided who you’re spending time with? Shall I let you pick? UMP45? Ribbon? Or me?",
Single_NewYear_002.wav,新年の鐘の音、鳴ったね。ここで問題です。指揮官へ明けおめを伝える最初のお人形さんは誰でしょうか。鈍いなあ、今目の前にいるじゃない。,The New Year’s bells just rang. Pop quiz: who’s the first doll to wish the Commander a Happy New Year? Come on—you’re slow. I’m right in front of you.,
Single_Obtain_SSR_001.wav,これからはもっと密に連携を取っていくわよ。楽しみね、指揮官。,"We'll soon be in a closer partnership than ever before~ Aren't you looking forward to it, Commander~?",wiki
Single_Passive_SSR_001.wav,サプラ～イズ。,Surprise♪,wiki
Single_SpringFes_001.wav,新年か、何か変わるといいわね。例えば、私たちの関係とか。冗談よ。私にとって家族以上に深い関係はない。それとも、あなたはそう思っていなかったりする?,"New year, huh? Hope something changes—like our relationship. Just kidding. There’s no bond deeper than family for me. Or were you thinking otherwise?",
Single_SpringFes_002.wav,指揮官は今年の目標ってある?例えば、私ともっと仲良くなりたいとか?冗談よ。まあ、本当だとしても嫌じゃないけどね。,"Got any goals for this year, Commander? Like getting closer to me? Kidding. Not that I’d complain if you were serious.",
Single_Title_001.wav,ドールズフロントライン2:エクシリウム,Girls' Frontline 2: Exilium~,wiki
Single_Valentine_001.wav,はい、バレンタインのチョコ。エナたちの分も用意したけど、指揮官のはちょっと違うんだよね。気になるなら、開けてみる?,"Here—Valentine’s chocolates. I’ve got some for Ena and the others too, but yours is a little different. Curious? Wanna open it?",
Single_Valentine_002.wav,今年のチョコには特別な気持ちを込めてあるの。それが何かは、全部食べきってからのお楽しみ。,I put something special into this year’s chocolates. What it is—you’ll have to finish them all to find out.,
Touch_Gun.wav,嗯。,Yeah.,
Touch_Head.wav,はぁ…,Sigh...,
Touch_Pocket.wav,はぁ...,Sigh...,
Upgrade.wav,。,.,
