filename,transcript,english,note
BarrackEntrance_Normal.wav,ふーん。,Hmm.,
Bedroom_0101.wav,わっ...,Whoa...,
Bedroom_01_Idle.wav,んー,Hmm...,
Bedroom_0201.wav,はぁ…,Sigh...,
Bedroom_0301.wav,ん、えへへ。,"Mm, heh heh.",
Bedroom_0401.wav,ん?,Huh?,
Bedroom_0501.wav,んー?,Hmm?,
Bedroom_0601.wav,えへへ、あーん。,"Hehe, open wide.",
Bedroom_06_Idle.wav,はぁ…,Sigh...,
Behave_InspectExclusive.wav,んーん。,Mm-mm.,
Behave_Stretch.wav,んー?,Huh?,
Break.wav,えい!,Hah!,
Camera_Aroud.wav,あん?,Huh?,
Camera_Look.wav,嗯呵呵,Heh heh.,
End.wav,(笑),Heh.,
Gacha.wav,パンパカパーン!,Ta-da!,
Lobby_Welcome_Single_Login_001.wav,今日は一緒に新しいおもちゃで遊ぼうよ。,Let's try out our new toy today.,
Series_Attack_Series_Tone_Positive_003.wav,当たれー!,"Come on, hit!",
Series_Battle_Start_Series_Tone_Positive_002.wav,悪い人をやっつけるよ。,I’ll take out the bad guys.,
Series_Chosen_Auto_Series_Tone_Positive_007.wav,私?,Me?,
Series_Chosen_Series_Tone_Positive_006.wav,いるよ。,They're here.,
Series_Daily_001.wav,書類仕事は任せて。あれ、昨日整理したファイルがない。,"Leave the paperwork to me. Wait, the file I organized yesterday is gone.",
Series_Daily_002.wav,力比べなら負けないよ。あたしと腕相撲してみる?,I won’t lose a contest of strength. Wanna arm-wrestle me?,
Series_Daily_003.wav,携帯一号!,Mobile One!,
Series_Daily_004.wav,今着ている服はクラウドの餌を元に作ったんだ。どうかな?,The outfit I’m wearing was modeled after Cloud’s bait. How’s it look?,
Series_Daily_005.wav,指揮官、アフタヌーンティーはいかが?ダーリリン、アッサム、アールグレイ、ペルシカトーコーヒーもあるよ!,"Commander, care for afternoon tea? Darjeeling, Assam, Earl Grey, Persica—and coffee too!",
Series_Die_Series_Tone_Negative_001.wav,おもちゃ壊れちゃった。,The toy’s busted.,
Series_Dying_Series_Tone_Negative_002.wav,かわいくない。,Not cute.,
Series_Hit_Single_Hit_001.wav,本気出しちゃうよ!,Time to get serious!,
Series_Hitted_Series_HittedLast.wav,Ah!,Ah!,
Series_Kill_Single_Kill_001.wav,やったー!,Yes!,
