filename,transcript,english,note
BarrackEntrance_Normal.wav,ん?,Huh?,
BarrackEntrance_Normal_Entry.wav,私の銃が見たい?,Wanna see my gun?,
Bedroom_0101.wav,ふぁ...,Yaaawn...,
Bedroom_01_Idle.wav,んん,Mm.,
Bedroom_0201.wav,ん?,Huh?,
Bedroom_0301.wav,んん。,Mm.,
Bedroom_03_Idle.wav,んん?,Huh?,
Bedroom_0401.wav,うう……,Ugh...,
Bedroom_0501.wav,んんんん,Nngh...,
Bedroom_0601.wav,んんん。,Nngh.,
Bedroom_0701.wav,んん?,Huh?,
Behave_InspectNormal.wav,ん。,Mm.,
Behave_Stretch.wav,嗯,Uh-huh.,
Break.wav,くっ。,Ugh.,
Camera_Aroud.wav,ふん。,Hmph.,
Camera_Look.wav,ん…,Hm...,
Cloth_After.wav,あっ、,Ah!,
Cloth_Before.wav,うん。,Yeah.,
Darkzone_Entry.wav,ちょっと、近いわよ。どいて。,"Hey, you’re too close. Move it.",
End.wav,Hm.,Hmm.,
Gacha.wav,Hm.,Hmm.,
Series_Battle_Start_Series_Tone_Positive_009.wav,この程度?,Is that it?,
Series_Cancel_Series_Tone_Positive_003.wav,あーもう!,"Oh, come on!",
Series_Chosen_Series_Up_008.wav,進歩は必須よ。,Progress is essential.,
Series_Daily_001.wav,あんたの起動基地、こんな感じなのね。割と悪くな……も、もちろん、ズッケロに比べればどうってことないけど!,"So this is your base of operations, huh. Not ba— I-I mean, it’s nothing compared to Zucchero’s!",
Series_Daily_002.wav,ねえ、ねえってば!人の話聞いてる?ちょっと、どうしたのよそのクマ!具合が悪いんだったら早く休んでよね。,"Hey, hey! Are you even listening? What's with those bags under your eyes? If you're not feeling well, go get some rest—now.",
Series_Daily_003.wav,センタウレイシーがくれたレシピで作ったスイーツよ。よければ……べ、別にあんたのために作ったわけじゃないから！,I made these treats using the recipe Centau Lacey gave me. If you want… I-I didn’t make them for you or anything!,
Series_Daily_004.wav,このモフモフしててニャーニャー鳴いてくるのがもう。な、何見てるの?別に猫なんか好きじゃないわよ。たまたま視界に入っただけなんだから。,"This fluffy thing keeps meowing at me—jeez. Wh-what are you looking at? It’s not like I like cats or anything. It just happened to be in my line of sight, that’s all.",
Series_Daily_005.wav,ちょっとあんた、全身砂だらけじゃない!外に出るなら防護服くらい着なさいよね。怪我したらどうするのよ、バカ!心配なんかしてないんだから。,"Hey, you—you're covered head to toe in sand! If you're going out there, at least wear your protective gear. What if you get hurt, you idiot! Not that I'm worried about you or anything.",
Series_Daily_006.wav,彼女が噂のデブリーね。ふん、ザークリンも人のこと言えないじゃない。,"She’s the infamous Debris. Hmph, Zaklin’s one to talk, too.",
Series_Daily_007.wav,私の名前?別に気分でつけただけよ。変な想像しないで。キャラメルマキアートが好きだからとか、そんな安直な理由じゃないから。,My name? I picked it on a whim. Don’t get any weird ideas. It’s not because I like caramel macchiatos or anything that obvious.,
Series_Daily_008.wav,そういえば、あんたどうしてあの時何も言わずに……答えたくないなら別にいいけど。,"By the way, why’d you keep quiet back then…? If you don’t want to answer, that’s fine.",
Series_Daily_009.wav,あんたのことなんて調べるわけないじゃない。えっ、スプリングフィールドから聞いた?イエローエリアの情報を集めている時にたまたま目に入っただけよ。そういうことだから勘違いしないでよね。,As if I’d investigate you. Huh? You heard that from Springfield? I just caught it by chance while I was gathering intel on the Yellow Sector. So don’t get the wrong idea.,
Series_Daily_010.wav,最近やけに他の人との距離が近いのね。別に深い意味はないわ。ほら、私たち一応は仲間でしょ。雑談することで距離が縮まるってスプリングフィールドも言ってたし。,"You’ve been getting awfully close to other people lately. I don’t mean anything by it. We’re teammates, after all. Springfield said small talk helps bring people closer, too.",
Series_Die_Series_Tone_Negative_002.wav,まだ終わってない!,It’s not over yet!,
Series_Hit_Series_Set_Click_Series_Tone_Positive_006.wav,まかせて。,On it.,
Series_Hit_Series_Tone_Positive_002.wav,邪魔よ。,You’re in the way.,
Series_Hit_Series_Tone_Positive_004.wav,消えろ!,Get lost!,
Series_Hit_Single_Hit_001.wav,消えろ!,Get lost!,
Series_Hitted.wav,ぺっ,Ptoo!,
Series_Kill_Single_Kill_001.wav,楽勝よ。,Too easy.,
Series_Lose_Single_Lose_001.wav,さっきはその、えっと、ごめんなさい。,"About earlier, uh... sorry.",
Series_Set_Click_Series_Tone_Positive_006.wav,まかせて。,Leave it to me.,
Series_Set_Fall_Series_Tone_Positive_010.wav,たーいないわね。,No one here.,
Series_Skill01_Single_Skill_001.wav,私が終わらせる!,I'll finish this!,
Series_Skill02_Single_Skill_002.wav,今よ!,Now!,
Series_Tone_Negative_001.wav,バカな。,Impossible.,
Series_Tone_Positive_001.wav,異議!,Objection!,
Series_Tone_Positive_002.wav,邪魔よ。,You’re in my way.,
Series_Tone_Positive_004.wav,消えろ!,Get lost!,
Series_Tone_Positive_005.wav,ぐざったい。,Annoying.,
Series_Tone_Positive_007.wav,るだよ。,I'll do it!,
Series_Ultimate_Single_Ultimate_SSR_001.wav,逃がすかっての。,You’re not getting away!,
Series_Up_001.wav,まずまずね。,Not bad.,
Series_Up_002.wav,これじゃ足りないわよ。,This won’t cut it.,
Series_Up_003.wav,完璧な私にふさわしいわ!,Perfect for someone as flawless as me!,
Series_Up_004.wav,当然よ。,Of course.,
Series_Up_005.wav,見る目があるじゃない。,Good eye.,
Series_Up_006.wav,上出来ね。,Nice work.,
Series_Up_007.wav,次もこの調子で頼むわ。,Keep it up on the next one.,
Series_Win_Single_Win_001.wav,昔みたいに私に感謝するといいわ。,Go ahead and thank me—like old times.,
Single_Acquire_SSR_001.wav,もう一年なの?こんなに時間が早く感じるなんて、もしかしてあんたと一緒にいるから?いやいや、そんなわけ...とにかく、これからもよろしく。それと、もう何も言わずに離れることは許さないから。,"Has it really been a year already? Time flew—maybe because I’ve been with you? Nah, no way... Anyway, let’s keep this going. And don’t you disappear on me without a word again.",
