filename,transcript,english,note
BarrackEntrance_Normal.wav,うわっ…。,Whoa...,
Bedroom_0101.wav,んー。,Hmm.,
Bedroom_01_Idle.wav,んんん,Nngh!,
Bedroom_0201.wav,うーん…。,Hmm...,
Bedroom_0301.wav,んん……ゃゅ……,Nngh... mm...,
Bedroom_03_Idle.wav,はあ…。,Sigh...,
Bedroom_0401.wav,あー。,Ah...,
Bedroom_04_Idle.wav,はぁん。,Ugh.,
Bedroom_0501.wav,嗯。,Yeah.,
Behave_InspectExclusive.wav,ふーん。,Huh.,
Behave_Stretch.wav,うん…。,Yeah...,
Break.wav,はぁ。,Sigh.,
Camera_Aroud.wav,あ……うん。,Uh... yeah.,
Camera_Look.wav,うん……あっ……,Mm... Ah...,
End.wav,はぁん,Ugh.,
Gacha.wav,はぁー,Sigh...,
Series_Battle_Start_Series_Up_007.wav,勘弁してよ。,Give me a break.,
Series_Cancel_Series_Tone_Positive_009.wav,めんどくさいな。,What a pain.,
Series_Chosen_Auto_Series_Tone_Positive_001.wav,ねむいよ。,I'm sleepy.,
Series_Chosen_Series_Tone_Positive_006.wav,引っ張らないでよ。,Quit pulling me.,
Series_Daily_001.wav,ここにいれば見つからずにサボれる。クルカイには内緒だよ。,"If I stay here, I can slack off without getting spotted. Don’t tell Klukai.",
Series_Daily_002.wav,す、すごい。エルモ号、まるで天国じゃんか。,W-whoa. The Elmo—it's like heaven.,
Series_Daily_003.wav,クルカイってほんと人遣いが荒いんだから。あんな頻繁に高出力モードを使わされちゃ、あたしの身がもたないよ。,"Klukai’s such a slave driver. If she keeps making me use high-output mode that often, I won’t last.",
Series_Daily_004.wav,はあ、あたしもメイリンのような優しいメカニックがついてたらな。ディールってばすぐあたしの素体をいじりたがるんだから。,"Sigh, I wish I had a gentle mechanic like Mayling. Deal’s always itching to tinker with my frame.",
Series_Daily_005.wav,うわあ、ぺぷりってそんなに力があったんだ。もしかして、あのリュックも外付けバッテリー?,"Whoa, Vepley’s that powerful? Is that pack an external battery too?",
Series_Daily_006.wav,今回の任務、アンドリスと来るべきだったな……はあ、あたしの憩いの聖地が……,"Should’ve brought Andoris for this mission... Sigh, there goes my sanctuary...",
Series_Daily_007.wav,やばい、早く任務を終えないとバイオクライシスの新作発表会に間に合わない!,"Crap, if I don’t wrap up this mission fast, I’ll miss the new Bio-Crisis reveal!",
Series_Daily_008.wav,無能であることを受け入れた瞬間、人は全てから解放される。どう?新しいプロフィール、イケてるでしょ。,"The moment you accept your own incompetence, you’re freed from it all. So? New profile—pretty cool, right?",
Series_Daily_009.wav,ミヨウカはちょっと騒がしいけど、あの子がいるときは、クルカイも私に構う暇がなくなるから楽なんだよね。,"Miyoka’s a bit loud, but when she’s around, even Klukai’s too busy to mess with me, so it’s kinda nice.",
Series_Daily_010.wav,漫画みたく次のカットには任務が終わっている……なんて都合のいいことにはならないか。,If only this were a comic—the mission would be over by the next panel... No such luck.,
Series_Die_Series_Tone_Negative_001.wav,きゅん,Eep!,
Series_Hit_Single_Hit_001.wav,オラオラー!,Take this!,
Series_HittedLast.wav,Zik,Tch.,
Series_Hitted_Series_Shield_Broken.wav,あっ,Ah!,
Series_Kill_Single_Kill_001.wav,黙っててよね。,"Shut up, okay?",
Series_Lose_Single_Lose_001.wav,バッテリー切れた。今回は撤退しよう。次こそは絶対に。,"Battery’s dead. Let’s fall back for now. Next time, for sure.",
Series_Set_Click_Series_Tone_Positive_002.wav,はいはい,"Yeah, yeah.",
Series_Set_Fall_Series_Tone_Positive_008.wav,キュ,Ngh!,
Series_Skill01_Series_Skill02_Single_Skill_001.wav,あげていくよ!,Pushing up!,
Series_Skill01_Series_Skill02_Single_Skill_002.wav,ちゃちゃっと終わらせて帰るよ。,Let's finish this fast and go home.,
Series_Skill01_Single_Skill_001.wav,上げていくよ。,Pushing up!,
Series_Skill02_Single_Skill_002.wav,ちゃちゃっと終わらせて帰るよ!,Let’s wrap this up quick and head home!,
Series_Tone_Negative_002.wav,いたた。,Ow.,
Series_Tone_Positive_003.wav,マジ?,Seriously?,
Series_Tone_Positive_004.wav,ふぁ。,Yawn.,
Series_Tone_Positive_005.wav,はあ。,Sigh.,
Series_Tone_Positive_007.wav,まだ敵がいるの?,Any hostiles left?,
Series_Tone_Positive_010.wav,いけいけー,"Go, go!",
Series_Ultimate_Single_Ultimate_SSR_001.wav,眠っちゃえ!,Go to sleep!,
Series_Up_001.wav,ふわぁ,Yawn...,
Series_Up_002.wav,終わった?,Is it over?,
Series_Up_003.wav,私なんかでいいの?,You sure you want someone like me?,
Series_Up_004.wav,おい、ちょっと強くなりすぎじゃ。,"Hey, you’ve gotten a bit too strong.",
Series_Up_005.wav,もういいよね。,"That's enough, right?",
Series_Up_006.wav,まだやるの?,We still doing this?,
Series_Up_008.wav,今のあたしは最強だー!,I'm at my strongest!,
