filename,transcript,english,note
BarrackEntrance_Normal.wav,ん,Mm.,
Bedroom_0101.wav,ふぅ。,Phew.,
Bedroom_0201.wav,うん。,Yeah.,
Bedroom_0301.wav,あっ……。,Ah...,
Bedroom_0401.wav,あっ……,Oh...,
Bedroom_04_Idle.wav,哈,Ha!,
Bedroom_0501.wav,あー。,Ah.,
Bedroom_0601.wav,ふっ,Heh.,
Behave_InspectExclusive.wav,うん。,Yeah.,
Behave_Stretch.wav,はぁ,Sigh.,
Break.wav,くっ......,Ugh...,
Camera_Aroud.wav,はっ。,"Yes, sir!",
Camera_Look.wav,はぁ…。,Sigh...,
End.wav,フン,Hmph.,
Gacha.wav,ふん。,Hmph.,
Series_Attack_Series_Tone_Positive_003.wav,邪魔しないで。,Stay out of my way.,
Series_Battle_Start_Series_Tone_Positive_002.wav,ターゲット確認。,Target confirmed.,
Series_Chosen_Auto_Series_Tone_Positive_007.wav,喜んで。,Gladly.,
Series_Chosen_Series_Tone_Positive_006.wav,了解,Roger.,
Series_Daily_001.wav,指揮官、今日の予定は?よかったら聞かせてくれる?,"Commander, what's the plan for today? Mind filling me in?",
Series_Daily_002.wav,この音楽のこと？今の雰囲気に合うと思って、私が用意したの。ほら、少し踊りましょう。,"The music? I queued it up—figured it fits the mood. C’mon, let’s dance a little.",
Series_Daily_003.wav,指揮官、食べてみる?ええ、新しいレシピを試してみたの。大丈夫よ、味見もしたあるし、我ながらよくできてる自信があるから。,"Commander, wanna try some? Yeah, I tried a new recipe. Don’t worry—I already taste-tested it, and if I do say so myself, it turned out great.",
Series_Daily_004.wav,さっきの訓練、キャロリックとネメシスが妙な顔をしていたけれど、私、また何か忘れてしまったのかしら。いらっしゃい、指揮官。いえ、ちょっと小隊について考えてただけよ。,"In that last drill, Carolic and Nemesis were making weird faces—did I forget something again? Welcome, Commander. No, I was just thinking about the squad.",
Series_Daily_005.wav,その顔、よっぽどこのコーヒーが気に入ったのかしら。もう一杯どう?好みは昔のままなのね。,"From that look on your face, you must really like this coffee. How about another cup? Guess your tastes haven’t changed.",
Series_Die_Series_Tone_Negative_001.wav,見ないで。,Don’t look.,
