filename,transcript,english,note
BarrackEntrance_Normal.wav,ううん,Nope.,
Barracksp_Touch_Pocket.wav,あっ。,Ah!,
Bedroom_0101.wav,ん?,Huh?,
Bedroom_0201.wav,え?,Huh?,
Bedroom_02_Idle.wav,,,
Bedroom_0301.wav,うん。,Yeah.,
Bedroom_03_Idle.wav,うーん,Hmm...,
Bedroom_0401.wav,うう…,Ugh...,
Bedroom_0501.wav,ん?,Huh?,
Bedroom_05_Idle.wav,Hmm?,Huh?,
Behave_InspectExclusive.wav,Hmm?,Huh?,
Behave_InspectNormal.wav,Hm.,Hmm.,
Behave_Stretch.wav,うん。,Yeah.,
Break.wav,ああああー！,Aaaah!,
Camera_Aroud.wav,え?,Huh?,
Camera_Look.wav,うん。,Yeah.,
End.wav,うん。,Yeah.,
Gacha.wav,うん,Yeah.,
Series_Battle_Start_Series_Tone_Positive_010.wav,絶対に引きません。,I will never retreat.,
Series_Cancel_Series_Tone_Negative_001.wav,わ,Wah!,
Series_Chosen_Auto_Series_Hit_Series_Tone_Positive_001.wav,突撃!,Charge!,
Series_Chosen_Auto_Series_Tone_Positive_001.wav,突撃!,Charge!,
Series_Chosen_Series_Tone_Positive_002.wav,団結。,Form up!,
Series_Daily_001.wav,何かお手伝いしましょうか?何でも言ってください!,Can I help with anything? Just say the word!,
Series_Daily_002.wav,指揮官、もう驚かさないでください。,"Commander, please don't scare me like that again.",
Series_Daily_003.wav,この機材、確かに使い方が難しいですね。ちょっと勉強してきます。,This gear is certainly tricky to use. I’ll go read up on it.,
Series_Daily_004.wav,大丈夫ですよ。仕事は順調です。隊長がいつも見てますからね。,We’re good. Mission’s going smoothly. The Captain’s always watching.,
Series_Daily_005.wav,今日、父子長官から将来が楽しみって褒められました。もっともっと頑張らなくちゃ。,The Deputy Commander praised me today—said I’ve got a bright future. I’ve gotta work even harder.,
Series_Daily_006.wav,一緒に闇ブローカーの値切り交渉をしてほしい、ですか?少し待ってください。同室クシニアからやり方を教わってきます。,"You want me to haggle with a black-market broker with you? Please wait a moment. I’ll go ask my roommate, Kushinia, how it’s done.",
Series_Daily_007.wav,私みたいな旧型でも、頑張れば皆さんの力になれる……そうですよね、指揮官?,"Even an old model like me can still help the team if I work hard... right, Commander?",
Series_Daily_008.wav,前回の戦闘で壊れたところを修理しました。えっと、心配させてしまいましたか?すみません、次からは気を付けます。,"I fixed the damage from the last fight. Uh, did I make you worry? Sorry—I’ll be more careful next time.",
Series_Daily_009.wav,たまには自分のことも考えて…ですか?ありがとうございます。でもみんなの笑顔が見られるだけで十分嬉しいんです。,Think about myself once in a while…? Thank you. But I’m happy enough just seeing everyone smile.,
Series_Daily_010.wav,どうしてメイリンが私を探している?セビックの機材が壊れた理由なんて知りませんよ。,Why is Meilin looking for me? I have no idea why Sevick’s gear broke.,
Series_Die_Series_Tone_Negative_002.wav,持ちこたえなきゃ!,Gotta hold out!,
Series_Hit_Series_Tone_Positive_003.wav,いきますよ,Here we go!,
Series_Hit_Single_Hit_001.wav,やり遂げます!,I’ll get it done!,
Series_Hitted_Series_HittedLast.wav,えっ,Huh?,
Series_Kill_Single_Kill_001.wav,守れました。,We held it.,
Series_Lose_Single_Lose_001.wav,すみません、指揮官、私…。,"I'm sorry, Commander, I...",
Series_Set_Click_Series_Tone_Positive_005.wav,わかりました,Understood.,
Series_Set_Fall_Series_Tone_Positive_008.wav,目標捕捉!,Target acquired!,
Series_Skill01_Single_Skill_001.wav,絶対にみんなを守ります。,"I will protect everyone, no matter what.",
Series_Skill02_Single_Skill_002.wav,お手伝いしましょうか?,Shall I assist?,
Series_Tone_Positive_003.wav,いきますよ。,Here we go.,
Series_Tone_Positive_004.wav,私の番ですか?,My turn?,
