filename,transcript,english,note
BarrackEntrance_Normal.wav,敵のデータは、すべて掌握済みです。,We have all the enemy intel.,
Bedroom_0101.wav,Hmm...,Hmm...,
Bedroom_0201.wav,Hi.,Hi.,
Bedroom_0301.wav,あっ,Oh!,
Bedroom_0401.wav,うん。,Yeah.,
Bedroom_04_Idle.wav,(snoring),(snoring),
Bedroom_0501.wav,うん。,Yeah.,
Behave_InspectExclusive.wav,.,.,
Behave_Stretch.wav,Hmm...,Hmm...,
Break.wav,,,
Camera_Aroud.wav,Hmm.,Hmm.,
Camera_Look.wav,Hmm...,Hmm...,
End.wav,Hmm.,Hmm.,
Gacha.wav,...,...,
Series_Attack_Series_Tone_Positive_003.wav,死んでくれるなよ。,Don’t you die on me.,
Series_Battle_Start_Series_Tone_Positive_002.wav,抑えてみせます。,I'll hold them back.,
Series_Chosen_Auto_Series_Tone_Positive_007.wav,承知しました。,Acknowledged.,
Series_Chosen_Series_Tone_Positive_006.wav,排除しますか?,Should we take them out?,
Series_Daily_001.wav,私たちは彼女によって研究室へ飾られた展示品に過ぎません。希望や信念、未来を虚名に、すべてが覆ったとき、それら偽りの華やかさと美しさは、虚飾で建てられた廃虚に積もる灰にしかなり得なかった。,"We’re nothing but exhibits she put on display in her lab. When hope, faith, and the future proved to be empty names and everything fell apart, their false glamour and beauty became nothing but ash settling on ruins raised on pretense.",
Series_Daily_002.wav,私たちを返した揺り籠とは、さびれた墓標です。育みながらも死に向かっている。それが、第三世代人形というものです。,The cradle that sent us back is a weathered headstone. It nurtures us even as it carries us toward death. That is what third-generation dolls are.,
Series_Daily_003.wav,彼岸を覗くとき、彼岸もまたこちらを覗いています。,"When you gaze into the beyond, the beyond gazes back at you.",
Series_Daily_004.wav,お母様が神に触れたいと申すなら、神殺しの宴を捧げてみせましょう。彼女が自らの杖で嘲笑を鳴らすのが楽しみです。,"If Mother wishes to touch the divine, I shall offer up a god-slaying feast. I look forward to hearing her scepter ring with scorn.",
Series_Daily_005.wav,今までの同僚と比べ、あなたの人形はどこか単純すぎるような印象を受けます。一体どのようにして、あの混沌をしのいできたのです?,"Compared to my previous colleagues, I get the impression your doll is a bit too simple. How on earth have you managed to weather that chaos?",
Series_Die_Series_Tone_Negative_001.wav,僕はまだ...,I'm still...,
Series_Dying_Series_Tone_Negative_002.wav,これが血が流れるという感覚。,So this is what bleeding feels like.,
Series_Hit_Single_Hit_001.wav,さあ、どんな反応を見せてくれるかな。,Let's see how you react.,
Series_Hitted.wav,phew,Phew.,
Series_Kill_Single_Kill_001.wav,弱すぎる。,Too weak.,
Series_Lose_Single_Lose_001.wav,まだ殺しきっていない。,They're not all dead yet.,
Series_Set_Click_Series_Tone_Positive_004.wav,なんなりと。,At your service.,
Series_Set_Fall_Series_Tone_Positive_005.wav,ではそのように。,"Very well, we'll do it that way.",
Series_Shield_Broken_Series_Tone_Negative_003.wav,もっと僕を怒らせてみるがいい。,"Go ahead, try to make me even angrier.",
Series_Skill01_Single_Skill_001.wav,後で掃除しておかなくては。,I need to clean this up later.,
Series_Skill02_Single_Skill_002.wav,逃げる気か?,You trying to run?,
Series_Tone_Positive_001.wav,敵のデータは、すべて掌握済みです。,We have full intel on the enemy.,
Series_Ultimate_Single_Ultimate_SSR_001.wav,新たな命には相応の痛みが伴う。,New life comes with its share of pain.,
Series_Up_001.wav,回復した。,Recovered.,
Series_Up_002.wav,力が広がっていく。,Power's spreading.,
Series_Up_003.wav,奇妙なデータだ。,Weird data.,
Series_Up_004.wav,見えた。,Got a visual.,
Series_Up_005.wav,刃で咲かせた花を持って、あなたへ終焉の賛美を送りましょう。,"With a blossom born of my blade, I shall offer you a hymn for your end.",
Series_Win_Single_Win_001.wav,少々血が流れてしまいましたが、問題はないでしょう。,"I've bled a little, but it shouldn't be a problem.",
