filename,transcript,english,note
BarrackEntrance_Normal.wav,私の出番?,My turn?,
Bedroom_0101.wav,はっ。,"Yes, sir!",
Bedroom_0201.wav,はぁ…ん?,Sigh... Huh?,
Bedroom_0301.wav,嗯,Mm.,
Bedroom_0401.wav,はぁ、はぁ。,"Huff, huff.",
Bedroom_04_Idle.wav,,,
Bedroom_0501.wav,んーん……,Hmm...,
Behave_InspectExclusive.wav,んふっ,Heh.,
Behave_Stretch.wav,へっ、はぁ、うん。,"Heh, ahh, yeah.",
Break.wav,へへ。,Heh heh.,
Camera_Aroud.wav,んっ?,Huh?,
Camera_Look.wav,ハッピー,Happy!,
Camera_LookBack.wav,ふふ。,Heh.,
Camera_LookCandy.wav,哈哈。,Haha.,
End.wav,ハァ…,Huff...,
Gacha.wav,え?,Huh?,
Series_Attack_Series_Tone_Positive_003.wav,みーつけた!,Found you!,
Series_Battle_Start_Series_Tone_Positive_002.wav,ねえねえ、早くしようよ。,"C’mon, let’s get moving.",
Series_Chosen_Auto_Series_Tone_Positive_007.wav,はっきれないよ。,Can't cut through!,
Series_Chosen_Series_Tone_Positive_006.wav,次は私、私ー!,Me next! Me!,
Series_Daily_001.wav,なになに?私にも見せて。,"What is it? Let me see, too.",
Series_Daily_002.wav,ふふふ、ロベラガルスのうちに楽しいことを。わっ、指揮官、今の内緒だからね。,"Heh heh heh, let’s have some fun while we’re at Roberagalus. Whoa—Commander, keep that between us, okay.",
Series_Daily_003.wav,暇だなあ。体は動きたくてムズムズしてるのに。ねえシキくん、横にいるダイナーゲートで遊んでもいい？え、なんでライオンがダメって？,"I’m bored. My body’s itching to move. Hey, Shiki, can I play with that Dinergate next to us? Huh? Why’s a lion off-limits?",
Series_Daily_004.wav,メイリンが一人部族で困ってそうだから手伝ってくるね。工具?そんなの私にはいらないって。,Mei-Lin’s alone with the tribe and looks like she’s in trouble—I’ll go help. Tools? I don’t need ’em.,
Series_Daily_005.wav,こないだの敵の慌てよう、思い出しただけで笑えてきちゃった。ねえ指揮官、一緒に私のメンタルデータを見ない?,"Just remembering how the enemy panicked the other day makes me laugh. Hey, Commander, want to look over my mental data with me?",
Series_Die_Series_Tone_Negative_001.wav,こりゃやったな。,Now we’ve done it.,
Series_Dying_Series_Tone_Negative_002.wav,まだ終わってない。,We’re not done yet.,
Series_Hit_Single_Hit_001.wav,よっしゃ!,Alright!,
Series_Hitted.wav,Ah!,Ah!,
Series_Kill_Single_Kill_001.wav,こんなんで壊れちゃうんだ。,That’s all it takes to break it.,
Series_Lose_Single_Lose_001.wav,ちょ、タイムタイム!指揮官、早く行こう?,"No time—no time! Commander, can we hurry up?",
Series_Set_Click_Series_Tone_Positive_004.wav,はやくはやく!,"Move, move!",
Series_Set_Fall_Series_Tone_Positive_005.wav,今売ってるよ。,It’s on sale now.,
Series_Shield_Broken_Series_Tone_Negative_003.wav,もっとちょうだい。,Gimme more.,
Series_Skill01_Single_Skill_001.wav,どこから話そうかな。,Where do I start?,
Series_Skill02_Single_Skill_002.wav,痛いのいくよ。,Here comes the pain!,
Series_Tone_Positive_001.wav,私の出番?,Am I up?,
Series_Ultimate_Single_Ultimate_SSR_001.wav,そのパーツ、私に使わせてよ。,Let me use that part.,
Series_Up_001.wav,やったー!,Yes!,
Series_Up_002.wav,ぷぷぷー,Pbbbbt!,
Series_Up_003.wav,あぶないよ。,Watch out!,
Series_Up_004.wav,全部ぶっ壊してやる。,I'm gonna smash it all!,
Series_Up_005.wav,もう待ちきれないよ。,I can’t wait any longer.,
Series_Win_Single_Win_001.wav,土下座されても許さないもんね。,"Even if you beg on your knees, I won’t forgive you.",
Single_Birthday_SSR_001.wav,お誕生日おめでとう!ああ、ケーキにいちごが乗ってる!今年の誕生日プレゼントは、指揮官のいちごを食べてあげること!なんちゃってー!本当は、じゃーん!ソープ特製特大ショートケーキを用意しました!,"Happy birthday! Oh, strawberries on the cake! This year’s present is: I’ll eat the strawberries off your cake, Commander! Just kidding! Actually—ta-da! I brought Soap’s special, extra-large strawberry shortcake!",
Single_Christmas_001.wav,ジングルベル ジングルベル 鈴が鳴る 全部壊して笑い合おうよ,"Jingle bells, jingle bells, the bells are ringing. Let’s smash it all and laugh together.",
Single_Friendliness_001.wav,スキちゃんも一緒に遊ぼうよ。扇風機に向かって話すと変な声になるんだ。,"Come play with us too, Suki. If you talk into the fan, your voice goes all funny.",
Single_Friendliness_002.wav,太古とランキング第2位、喧嘩?第1位、指揮官と喧嘩?あーちなみに指揮官をぶつ方じゃなくて、指揮官と一緒に相手をコテンパンにする方ね!,"Second place on my list? Brawling. First? Brawling with the Commander. And just to be clear—not brawling the Commander, brawling alongside the Commander to beat ’em to a pulp!",
Single_Friendliness_003.wav,私のコレクション、見てみたくない？冷たくって、綺麗で、キラキラしてるんだ。他の人？他の人たちは良さを分かってくれないからダメ。,"Wanna see my collection? It’s cold, beautiful—sparkly. Other people? Off-limits. They don’t get it.",
Single_Friendliness_004.wav,指揮官、最近戦いになるとみんな私から離れていくんだけど、どうしてかな?え、戦闘中の私が怖すぎるから?そんな、ちゃんと空気読んで解体は我慢したのに。指揮官はわかってくれるよね?ね?,"Commander, lately the moment a fight breaks out, everyone pulls away from me—why? What, I’m too scary in combat? Come on, I even read the room and held back on the whole “taking them apart” thing. You get me, right, Commander? Right?",
Single_Friendliness_005.wav,戦いの後っていつも熱くなるなぁ。これ?これ冷却用なんだ。スキちゃんも買ってきて涼んでみる?もっと寄ってよ。,"I always run hot after a fight. This? It’s for cooling down. Suki, why don’t you pick one up and cool off too? Come a little closer.",
Single_Friendliness_006.wav,指揮官、もし何かなくしたら言ってね?私、鼻には自信あるから、きっと見つけてあげられるよ。,"Commander, if you lose anything, let me know. I’ve got a good nose—I’ll track it down for you.",
Single_Friendliness_007.wav,うーん、リヴァがね、戦ってる時の私のことを凶暴な野犬みたいって言ってたんだけど、指揮官はどう思う?でも、なんか強そうだし悪い意味じゃないよね。ぐるるるる、エルマガーの戦術犬だぞ。歯向かう奴は全員噛みちぎってやる!,"Hmm, Riva said when I’m fighting I’m like a vicious stray mutt. What do you think, Commander? Still, it sounds kinda badass, not an insult, right? Grrrr… Elmagar’s tactical hound here. Anyone who defies us—I’ll chew them to pieces!",
Single_Friendliness_008.wav,指揮官のこと大好き！でも、任務がある時は一緒にいられないから、じゃじゃーん！そういう時のために、このM4ソップモッドⅡジュニアを作りました！私がいない時に代わりだと思って大事にしてね！,"I love you, Commander! But when there’s a mission and we can’t be together—ta-da! For times like that, I made this M4 SOPMOD II Junior! When I’m not around, think of it as me and take good care of it, okay?",
